Criação das árvores ordenadas:
n_persons	index	time        
262144   	0    	2.803419e-01
262144   	1    	3.182371e-01
262144   	2    	2.906096e-01
262144   	3    	2.510220e-01

Procura de nós nas árvores:
n_persons	index	time        
262144   	0    	2.834131e-01
262144   	1    	3.220125e-01
262144   	2    	2.793012e-01
262144   	3    	2.585711e-01

Maior profundidade das árvores:
n_persons	index	time        	depth
262144   	0    	1.766810e-02	46   
262144   	1    	1.734970e-02	42   
262144   	2    	1.730120e-02	40   
262144   	3    	1.539980e-02	44   

Número de nós em cada nível:
n_persons	index	time        	lvl0  	lvl1  	lvl2  	lvl3  	lvl4  	lvl5  	lvl6  	lvl7  	lvl8  	lvl9  	lvl10 	lvl11 	lvl12 	lvl13 	lvl14 	lvl15 	lvl16 	lvl17 	lvl18 	lvl19 	lvl20 	lvl21 	lvl22 	lvl23 	lvl24 	lvl25 	lvl26 	lvl27 	lvl28 	lvl29 	lvl30 	lvl31 	lvl32 	lvl33 	lvl34 	lvl35 	lvl36 	lvl37 	lvl38 	lvl39 	lvl40 	lvl41 	lvl42 	lvl43 	lvl44 	lvl45 	lvl46 
262144   	0    	1.202030e-02	1     	2     	4     	8     	16    	32    	62    	118   	227   	418   	706   	1183  	1896  	2908  	4202  	5761  	7487  	9366  	11238 	13094 	14830 	16269 	17286 	18050 	18384 	18116 	17279 	16134 	14418 	12449 	10596 	8507  	6546  	4932  	3457  	2342  	1595  	992   	570   	304   	166   	94    	54    	25    	12    	5     	3     
262144   	1    	1.196390e-02	1     	2     	4     	8     	16    	32    	64    	126   	246   	463   	854   	1494  	2491  	3905  	5694  	7767  	10185 	12695 	15349 	17881 	20161 	21571 	22198 	21752 	20252 	18039 	15231 	12468 	9801  	7407  	5149  	3412  	2210  	1390  	821   	444   	253   	142   	81    	46    	23    	11    	5     	nan   	nan   	nan   	nan   
262144   	2    	1.400960e-02	1     	2     	4     	8     	16    	32    	62    	122   	235   	456   	836   	1495  	2547  	4157  	6351  	9142  	12423 	15792 	18957 	21324 	22778 	22884 	22189 	20400 	18039 	15255 	12549 	9874  	7625  	5616  	4078  	2776  	1761  	1113  	662   	333   	150   	58    	29    	10    	3     	nan   	nan   	nan   	nan   	nan   	nan   
262144   	3    	1.511810e-02	1     	2     	4     	8     	16    	32    	64    	126   	246   	461   	851   	1481  	2460  	3978  	6013  	8614  	11656 	14957 	18032 	20600 	22204 	22923 	22361 	20969 	18919 	16244 	13457 	10583 	8036  	5772  	4031  	2709  	1802  	1123  	686   	366   	186   	91    	43    	20    	5     	4     	4     	3     	1     	nan   	nan   

Lista de pessoas (índice 0, filtro "John "):
#       	name (0)                       	zip_code (1)                                                   	telephone number (2)	social security number (3)
1       	John Abbott                    	22192 Woodbridge (Prince William county)                       	6740 404 344     	474-34-3985            
2       	John Abbott                    	75034 Frisco (Collin county)                                   	6290 839 375     	618-08-8069            
3       	John Abbott                    	91770 Rosemead (Los Angeles county)                            	8965 024 874     	620-96-9086            
4       	John Abbott                    	98052 Redmond (King county)                                    	5339 868 545     	597-10-9426            
5       	John Acevedo                   	92509 Riverside (Riverside county)                             	9968 725 139     	986-55-8423            
6       	John Acosta                    	10453 Bronx (Bronx county)                                     	2471 942 385     	434-60-0600            
7       	John Acosta                    	11229 Brooklyn (Kings county)                                  	1458 748 767     	502-25-7796            
8       	John Acosta                    	42101 Bowling Green (Warren county)                            	2032 670 119     	119-03-5665            
9       	John Acosta                    	91762 Ontario (San Bernardino county)                          	8930 775 020     	505-83-1045            
10      	John Adams                     	10002 New York City (New York county)                          	6843 967 314     	129-92-9372            
11      	John Adams                     	10314 Staten Island (Richmond county)                          	1454 459 126     	887-48-9422            
12      	John Adams                     	11207 Brooklyn (Kings county)                                  	7459 635 865     	435-18-4995            
13      	John Adams                     	11213 Brooklyn (Kings county)                                  	3136 621 748     	635-32-1548            
14      	John Adams                     	33025 Hollywood (Broward county)                               	1509 886 239     	539-88-6736            
15      	John Adams                     	60617 Chicago (Cook county)                                    	1165 788 140     	517-34-3174            
16      	John Adams                     	60617 Chicago (Cook county)                                    	7558 650 291     	247-39-4087            
17      	John Adams                     	7055 Passaic (Passaic county)                                  	6792 279 351     	610-06-8409            
18      	John Adams                     	77036 Houston (Harris county)                                  	4289 370 201     	685-56-6033            
19      	John Adams                     	78130 New Braunfels (Comal county)                             	3526 229 600     	691-10-8282            
20      	John Adams                     	78666 San Marcos (Hays county)                                 	6698 813 434     	543-99-0443            
21      	John Adams                     	89108 Las Vegas (Clark county)                                 	2355 148 466     	367-49-8887            
22      	John Adams                     	90066 Los Angeles (Los Angeles county)                         	7041 823 305     	456-96-8087            
23      	John Adams                     	91335 Reseda (Los Angeles county)                              	4148 949 110     	132-41-4256            
24      	John Adams                     	91702 Azusa (Los Angeles county)                               	5788 003 065     	461-07-5525            
25      	John Adams                     	91911 Chula Vista (San Diego county)                           	2960 060 814     	584-50-6052            
26      	John Adams                     	93906 Salinas (Monterey county)                                	1439 766 560     	511-33-3746            
27      	John Adams                     	94112 San Francisco (San Francisco county)                     	4528 070 242     	708-57-7404            
28      	John Adams                     	949 Toa Baja (Toa Baja county)                                 	9375 265 560     	425-14-3321            
29      	John Adkins                    	10468 Bronx (Bronx county)                                     	1289 158 181     	868-55-8202            
30      	John Adkins                    	11355 Flushing (Queens county)                                 	4139 727 808     	929-02-5098            
31      	John Adkins                    	29445 Goose Creek (Berkeley county)                            	1782 876 242     	710-63-6055            
32      	John Aguilar                   	11434 Jamaica (Queens county)                                  	7111 433 621     	583-63-7402            
